Data,Google Analytics | Sessions | Total,Google Analytics | Sessions | Direct,Google Analytics | Sessions | Email,Google Analytics | Sessions | Social,Google Analytics | Sessions | (Other),Google Analytics | Sessions | Referral,Google Analytics | Sessions | Organic Search,Google Analytics | Sessions | Paid Search,Google Analytics | Sessions | Display,Google Analytics | Goal completions | Total,Google Analytics | Goal completions | Direct,Google Analytics | Goal completions | Email,Google Analytics | Goal completions | (Other),Google Analytics | Goal completions | Referral,Google Analytics | Goal completions | Social,Google Analytics | Goal completions | Organic Search,Google Analytics | Goal completions | Paid Search,Google Analytics | Goal completions | Display,Google Analytics | Goal completions | Programmatic,Google Analytics | Goal completions | Syndication,Google Analytics | Goal completions | Goal 4 completions,Google Analytics | Goal completions | Goal 2 completions,Google Analytics | Goal completions | Goal 3 completions,Google Analytics | Goal completions | Goal 15 completions,Google Ads | Spend | Total,Google Ads | Spend | Prospecting,Google Ads | Spend | Remarketing/Brand/Nurturing,Google Ads | Spend | (not set),Google Ads | Revenue | Total,Google Ads | Revenue | Prospecting,Google Ads | Revenue | Remarketing/Brand/Nurturing,Google Ads | Revenue | (not set),Google Ads | Spend | Search Network,Google Ads | Spend | Display Network,Google Ads | Spend | YouTube Videos,Google Ads | Spend | Cross-network,Google Ads | Spend | Cross-network,Google Ads | Impressions | Prospecting,Google Ads | Clicks | Prospecting,Google Ads | Revenue | Prospecting,Google Ads | All Conversions | Prospecting
2020|01,99902,28409,13114,3868,9427,7530,26452,10294,787,10581,745,5657,2789,132,81,847,289,20,21,0,0,1227,9354,0,34112.17,0,7766.22,24437.18,2,0,2,0,31271.13,2841.04,0,0,0,0,0,0,0
2020|02,94965,25315,11852,5067,8752,6673,22811,12891,1604,7704,310,4001,2426,40,50,631,226,20,0,0,0,1041,6663,0,43574.87,0,8655.3,32395.83,0,0,0,0,39886.46,3688.41,0,0,0,0,0,0,0
2020|03,108992,28067,7186,4715,15659,8166,20836,21302,3061,5651,259,434,4207,30,51,413,247,10,0,0,0,1642,4009,0,45966.61,0,9729.89,33096.25,10,0,10,0,41348.7,4617.91,0,0,0,0,0,0,0
2020|04,96070,23484,1164,5625,18966,9134,20628,15621,1448,7385,403,153,5581,112,113,547,424,52,0,0,0,2056,5329,0,36808.24,0,8735.44,26219.91,0,0,0,0,33962.38,2845.86,0,0,0,0,0,0,0
2020|05,113754,27540,12190,4158,22947,6781,20401,17544,2089,443,62,0,216,20,0,104,41,0,0,0,0,124,319,0,35260.51,0,8114.76,24361.46,0,0,0,0,31261.27,3999.24,0,0,0,0,0,0,0
2020|06,107585,31254,4144,2750,6366,9692,24735,24890,3299,3288,610,796,699,71,40,537,514,0,0,0,111,785,2392,0,52124.35,0,9219.97,38315.95,0,0,0,0,46314.75,5809.6,0,0,0,0,0,0,0
2020|07,123219,37616,13622,2542,10364,11125,23142,23081,1696,10893,508,6227,2932,71,145,547,463,0,0,0,92,545,10256,0,49842.31,0,9132.88,37546.93,6,0,0,6,46017.68,3824.63,0,0,0,0,0,0,0
2020|08,118038,34151,15402,2522,11927,5919,22150,24197,1770,4870,258,2356,1091,256,42,517,350,0,0,0,70,670,4130,0,42192.96,0,7141.54,32939.97,1,0,0,1,39323.07,2869.89,0,0,0,0,0,0,0
2020|09,135349,40710,20141,1860,9319,6423,26803,28748,1345,6931,393,3433,1506,174,61,755,578,31,0,0,51,795,6085,0,47723.69,0,9296,35873.93,3,0,3,0,44329.51,3394.18,0,0,0,0,0,0,0
2020|10,140846,44010,9857,2637,14815,6460,30209,30085,2742,3257,465,702,761,81,10,589,618,31,0,0,20,896,2341,0,58918.46,0,9823.51,44621.73,1,0,1,0,52926.44,5992.02,0,0,0,0,0,0,0
2020|11,99941,34813,7341,1271,5190,5467,26474,18156,1219,6011,734,3217,854,92,40,755,298,21,0,0,72,525,5414,0,51075.57,0,9197.44,39973.08,9,0,9,0,48033.95,3041.62,0,0,0,0,0,0,0
2020|12,97306,39975,7208,1239,3686,3760,23265,14235,1964,2274,434,537,253,30,40,538,319,0,0,123,51,434,1789,0,63164.33,0,8378.82,52008.91,0,0,0,0,59339.92,3824.41,0,0,0,0,0,0,0
2021|01,128584,45220,17530,2006,5665,4835,27705,14751,1520,5808,352,3111,582,92,51,630,371,0,0,619,50,548,5210,0,65935.01,0,9985.04,53007.2,0,0,0,0,62290.53,3644.48,0,0,0,0,0,0,0
2021|02,131195,41351,23336,2294,6119,4418,30322,15818,2948,3329,310,1085,255,71,72,598,505,20,0,413,70,1434,1825,0,66777.07,0,11677.25,51709.89,1,0,0,1,61512.45,5264.62,0,0,0,0,0,0,0
2021|03,155534,51614,21184,1799,7623,7255,35609,17483,3538,3075,342,338,183,131,82,950,671,0,0,378,102,814,2159,0,75401.48,0,12847.74,57355.44,4,0,0,4,68888.8,6512.68,0,0,0,0,0,0,0
2021|04,140791,49224,18709,2171,5891,5264,32774,16604,3547,2582,176,348,256,163,62,837,504,10,0,226,61,771,1750,0,69857.1,0,12569.2,53018.9,0,0,0,0,63769.91,6087.19,0,0,0,0,0,0,0
2021|05,145057,58318,15358,2375,6091,4429,30798,16975,2958,1968,196,516,194,30,0,632,340,10,0,50,51,474,1443,0,72808.33,0,12598.09,56753.78,0,0,0,0,68244.39,4563.94,0,0,0,0,0,0,0
2021|06,172732,78553,18804,1913,9565,5025,31823,15878,2907,2119,269,327,142,81,61,736,452,0,21,30,41,637,1441,0,70233.33,0,14556.45,51776.01,0,0,0,0,64778.81,5073,381.52,0,0,0,0,0,0
2021|07,134711,51345,15066,1788,4827,3909,32754,14936,4407,2057,289,378,225,71,0,661,392,0,0,41,40,640,1377,0,64296.43,0,11570.38,44480.51,1,0,0,1,54685.5,8186.69,1424.24,0,0,0,0,0,0
2021|08,135593,46451,21656,2656,5429,3196,31522,14723,4282,5115,269,2986,276,90,40,641,300,10,0,503,82,669,4364,0,65938.01,0,11608.53,45214.24,1,0,0,1,56356.67,8202.23,1379.11,0,0,0,0,0,0
2021|09,132160,41827,17543,3681,6288,3612,29079,16365,4076,11021,600,6138,1020,81,93,942,465,92,21,1559,0,1361,9660,0,87928.19,0,12927.85,66182.13,3005,0,1501,1504,77571.39,8418.91,1937.89,0,0,0,0,0,0
2021|10,108973,36427,12071,2057,5292,5927,29578,10458,3175,8182,445,4199,1064,392,20,911,318,10,20,803,0,1092,7090,0,46637.74,0,8588.97,31796.79,206551,0,61301,136050,39408.99,5786.45,1442.3,0,0,0,0,0,0
2021|11,88638,30964,10387,1189,3448,2656,24766,10251,2812,6535,383,3949,298,50,20,869,317,10,0,639,0,894,5641,0,46750.55,0,8884.58,32312.27,87652,0,34100,50552,40654.34,5628.29,467.92,0,0,0,0,0,0
2021|12,76946,32164,8771,1200,2209,2173,17566,9247,2503,5285,363,3131,277,112,40,579,412,41,0,330,0,915,4370,0,45292.5,0,9108.5,31346.3,1,0,0,1,39590.27,5246.07,456.16,0,0,0,0,0,0
2022|01,106401,39499,16578,2449,2527,3794,24084,12092,2699,11241,445,7850,389,133,51,745,392,40,0,1196,0,1267,9974,0,57239.96,0,8427.15,43235.82,1,0,0,1,51124.7,4753.07,1362.19,0,0,0,0,0,0
2022|02,81335,29112,7062,2109,2241,3140,23639,11055,1054,6232,217,3242,422,173,61,651,432,0,0,1034,0,915,5317,0,54722.94,0,7913.13,43204.38,4,0,1,3,50784.39,2590.26,1348.29,0,0,0,0,0,0
2022|03,118184,40492,14761,2005,4422,4619,29649,13084,2183,12208,569,7673,1076,131,20,817,538,30,0,1354,0,1487,10721,0,72166.99,0,13089.1,53776.25,2,0,1,1,66103.13,4540.1,1523.76,0,0,0,0,0,0
2022|04,78697,28874,8598,1168,2770,2927,22366,9090,2089,6079,228,4023,460,91,20,662,298,20,0,277,0,772,5307,0,71445.83,0,15882.26,48660.15,1,0,0,1,64265.26,5918.07,1262.5,0,0,0,0,0,0
2022|05,71262,25057,10040,1344,2580,2559,16853,8185,3497,1722,268,496,113,30,10,331,267,52,0,155,92,319,1311,0,76709.74,0,14541.63,55097.63,0,0,0,0,69315.73,6584.69,809.32,0,0,0,0,0,0
2022|06,122392,41879,16808,3091,6700,4670,25067,18260,3528,2584,548,298,142,142,10,663,649,92,0,40,217,596,1771,0,85006.35,0,17721.58,59955.65,0,0,0,0,73378.4,8263.2,967.29,2397.23,2397.23,0,0,0,0
2022|07,83590,32537,8292,4365,2182,2741,17121,12362,2731,5109,403,2884,196,90,10,611,505,318,0,92,113,3769,1227,0,70321.4,0,11941.34,51204.41,0,0,0,0,59613.81,8641.89,0,2065.7,2065.7,0,0,0,0
2022|08,121208,43130,25184,3092,2870,7158,22066,11782,3548,17480,600,12513,916,339,30,869,796,175,0,1242,92,8042,9346,0,69009.7,0,11814.83,49440.44,0,0,0,0,58598.62,9877.62,0,533.46,533.46,0,0,0,0
2022|09,108412,38899,21174,2170,2294,9027,22253,8440,1787,17102,745,12360,825,417,80,1439,391,226,0,619,133,6157,10812,0,49265.25,0,7750.19,37390.08,0,0,0,0,42758.19,6311.04,0,196.02,196.02,0,0,0,0
2022|10,94273,39034,10059,2719,1749,8997,20876,8825,909,8576,600,4809,640,918,61,786,565,20,21,156,134,2829,5613,0,49594.11,0,7513.78,39183.05,1,0,0,1,45501.78,3692.46,0,399.87,399.87,0,0,0,0
2022|11,90380,35982,11535,1769,1371,7325,20442,8988,1448,5516,280,3485,247,163,20,714,340,51,0,216,51,403,5011,51,49455.46,0,7367.09,37261.44,1,0,0,1,43441.28,5658.82,0,355.36,355.36,0,0,0,0
2022|12,70436,26805,12005,1439,713,5566,14534,7761,849,5458,331,4100,184,60,21,300,235,52,0,175,20,441,4956,41,49524.65,0,9181.26,37007.25,4,0,0,0,45556.89,3964.62,0,3.14,3.14,0,0,0,0
2023|01,92137,32847,13466,2152,2520,5669,24570,9529,1292,7641,362,5323,526,165,72,826,306,51,0,10,103,472,7026,40,65908.42,0,13418.95,49119.78,1,0,0,1,60846.71,5061.71,0,0,0,0,0,0,0
2023|02,87246,32444,13538,1354,1499,5960,21756,8740,911,5542,269,3555,153,234,41,724,351,81,0,134,123,441,4905,73,64834.55,0,14778.3,48057.13,2,0,0,2,60552.3,4282.25,0,0,0,0,0,0,0